id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,Ind,sigma_m,discount.1,model,precision,timeout,mean_G
3c94f62da,4.84,10929.2,10929.3,15.085,  Preset timeout reached,101,101,101,0.99,2017-10-18 06:17:17,78,0.05,0.99,logistic,1e-18,10000,0.129584494223104
3e94f62da,4.52,4690.42,10007,0.0108735,  Preset timeout reached,101,101,101,0.99,2017-10-18 06:26:47,80,0.05,0.99,logistic,1e-18,10000,0.0397294633599063
3d2d07a972,4.78,14345.59,14345.7,3202.83,  Preset timeout reached,101,101,101,0.99,2017-10-18 07:28:51,87,0.05,0.99,logistic,1e-18,10000,0.2
382d07a972,4.71,8999.68,10003.9,0.0597777,  Preset timeout reached,101,101,101,0.99,2017-10-18 07:33:18,82,0.05,0.99,logistic,1e-18,10000,0.0983233201772222
3a94f62da,4.58,5098.14,10001,0.0193648,  Preset timeout reached,101,101,101,0.99,2017-10-18 07:34:24,76,0.05,0.99,logistic,1e-18,10000,0.0472852763781012
3e2d07a972,4.97,3276.32,3637.2,-0.00193671,  target precision reached,101,101,101,0.99,2017-10-18 07:36:39,88,0.05,0.99,logistic,1e-18,10000,0.2
392d07a972,4.57,4821.53,10002.2,0.137294,  Preset timeout reached,101,101,101,0.99,2017-10-18 07:57:06,83,0.05,0.99,logistic,1e-18,10000,0.2
3b2d07a972,4.56,4966.06,10001.5,0.126056,  Preset timeout reached,101,101,101,0.99,2017-10-18 08:28:47,85,0.05,0.99,logistic,1e-18,10000,0.2
3864a8a64a,4.95,3909.82,3957.35,-0.00782244,  target precision reached,101,101,101,0.99,2017-10-18 08:48:52,90,0.05,0.99,logistic,1e-18,10000,0.197993083505109
372d07a972,4.87,11295.48,11295.5,8.54553,  Preset timeout reached,101,101,101,0.99,2017-10-18 09:30:07,81,0.05,0.99,logistic,1e-18,10000,0.12919094962115
3c2d07a972,4.66,12385.28,12385.4,3394.49,  Preset timeout reached,101,101,101,0.99,2017-10-18 09:52:15,86,0.05,0.99,logistic,1e-18,10000,0.2
